Name,Etot (Eh),C6AA_DISPERSION,C8AA_DISPERSION,Molecular Polarizability,Dipole from Density,HOMO/LUMO Gap (eV),Repulsion Energy (Eh),Isotropic ES (Eh),AnisotropicES (Eh),AnisotropicXC (Eh),Dispersion Energy (Eh),HOMO Energy (Eh),LUMO Energy (Eh),NFOD,Molecular Dipole
BVFWKBCHXXZOJJ-UHFFFAOYSA-N,-32.87383683,5539.263259,125481.5249,114.766028,1.626,3.318280346,0.459704964,0.026580661,0.005652826,0.018979677,-0.017931056,-0.3679106,-0.245966,0.1166,0.905
YSRWQGSUXGWTHB-UHFFFAOYSA-N,-37.0072883,4695.833517,110083.4514,104.82796,4.306,3.442588431,0.400081332,0.066615883,0.001325985,0.009280681,-0.015973605,-0.3959715,-0.2694587,0.1079,4.539
REQREMPZQWXKAO-UHFFFAOYSA-N,-31.84963966,5141.815916,119788.7039,111.3175,2.064,2.262334509,0.453622576,0.031848941,0.003946338,0.019749584,-0.018492638,-0.3812788,-0.2981395,0.3313,2.646
MMDRDAFWWYWCGO-UHFFFAOYSA-N,-42.39131958,4972.181965,114030.0038,106.449465,4.774,3.234876795,0.398217239,0.072196246,0.002162041,-0.005647963,-0.01849298,-0.3786139,-0.2597344,0.1146,4.781
TVRPZLLAQQVNEG-UHFFFAOYSA-N,-29.99739757,4199.102423,95545.58294,100.570294,2.687,3.21149222,0.38555409,0.03020733,0.00481642,0.016209669,-0.015067105,-0.3489199,-0.2308997,0.1221,2.746
OATKXQIGHQXTDO-UHFFFAOYSA-N,-35.11022227,6623.658938,163173.7817,130.486972,2.534,3.597662023,0.57507932,0.021732911,0.003322607,0.022002324,-0.020629133,-0.372613,-0.2404013,0.1332,2.603
IJFLBOULCFYVKB-UHFFFAOYSA-N,-38.32010861,6825.857764,176066.0827,127.596217,1.113,3.389102077,0.454839399,0.046497307,-0.000273888,0.016516602,-0.020022736,-0.3887611,-0.2642138,0.1408,1.716
PTRHJJHEZUMSQS-UHFFFAOYSA-N,-34.25459702,5553.825065,130713.9562,115.322416,3.608,2.644657838,0.475331223,0.045440985,0.004924802,0.019870028,-0.01760376,-0.3771056,-0.2799162,0.2395,4.27
MVXUKVOJHFTFPP-UHFFFAOYSA-N,-36.14767288,7643.474087,201612.0243,138.365658,2.407,2.565641551,0.562998776,0.013955087,0.00191673,0.021251585,-0.023400204,-0.3698721,-0.2755865,0.264,2.474
STGZMDMCSWZWHU-UHFFFAOYSA-N,-40.45420352,5637.56469,128744.8687,114.34237,8.191,2.514719337,0.416083674,0.091311787,0.006475209,0.008538413,-0.018539115,-0.3983231,-0.3059089,0.3208,10.497
YURTZWSYMDBSIA-UHFFFAOYSA-N,-40.01134622,6216.034872,143390.6058,120.687913,2.467,2.642321821,0.456709659,0.072274663,0.005084109,0.011307163,-0.021332857,-0.3781483,-0.2810447,0.2252,3.082
NSGJRTBSLYQQTP-UHFFFAOYSA-N,-35.14686385,5001.249759,117828.52,109.067279,3.508,3.257138946,0.445720003,0.041712295,0.004652791,0.025334825,-0.016473163,-0.3932485,-0.2735509,0.1492,4.024
AZQLYGCISPLJER-UHFFFAOYSA-N,-34.90257003,5177.453949,123042.0674,110.734873,3.105,2.665283122,0.453723229,0.056987096,0.000787422,0.015475768,-0.017433206,-0.3797835,-0.2818361,0.2182,3.532
DKTXBIIMOGXSQM-UHFFFAOYSA-N,-39.00728458,8509.946127,211958.0192,147.651958,6.83,2.997839308,0.715062612,0.025672361,0.007592753,0.039076261,-0.024417006,-0.3766456,-0.2664771,0.2351,7.49
ZFQNWDOJNLGVLV-UHFFFAOYSA-N,-37.32985812,5852.756152,140252.508,119.707742,3.352,2.290044908,0.512866546,0.048358796,0.003987946,0.013569601,-0.018954014,-0.3841283,-0.2999707,0.3944,4.525
MPRZWCUIBYQXCV-UHFFFAOYSA-N,-41.08870531,9318.962728,221393.5792,151.731738,4.302,3.192915122,0.650542483,0.018392034,0.009052143,0.030307858,-0.029480088,-0.3552057,-0.2378682,0.1683,5.183
YQGXYZIMKONZOG-UHFFFAOYSA-N,-42.57803937,7971.937114,181262.0831,136.895461,3.726,3.400663407,0.530463325,0.065485361,0.008614536,0.017420372,-0.022603084,-0.3604444,-0.2354723,0.1146,3.612
XLIYFSLQBRKSNS-UHFFFAOYSA-N,-36.94161931,6601.5959,171890.1535,127.208721,4.094,3.323237857,0.460902331,0.028579495,0.002487413,0.029628603,-0.019762817,-0.3975111,-0.2753843,0.1737,4.11
BFKHSLAQEYFTPC-UHFFFAOYSA-N,-32.23998275,5896.215282,133286.7327,118.847512,2.446,3.221357961,0.484252102,0.019627607,0.007076413,0.026482032,-0.020595591,-0.3627047,-0.2443219,0.1471,1.869
HRUBXJBPLLZTAN-UHFFFAOYSA-N,-29.07636738,4801.491568,108567.7449,107.833877,2.136,3.01447976,0.429365177,0.012309655,0.007186351,0.024775931,-0.01787908,-0.3512688,-0.2404888,0.1827,2.213
RPBHWWDDKIEIFA-UHFFFAOYSA-N,-32.41710514,4654.964411,107952.0432,106.351164,1.859,2.683366729,0.423319825,0.053078982,0.007498442,0.016796824,-0.01680527,-0.3639869,-0.265375,0.2414,2.287
IXGCYJWJMZNBCJ-UHFFFAOYSA-N,-38.05742947,6381.733559,149479.9122,122.630546,2.112,3.267339441,0.493139677,0.051858175,0.002189774,0.018492246,-0.021299466,-0.3724407,-0.2523682,0.1316,1.874
BSSAYGWMFGXIPF-UHFFFAOYSA-N,-31.90060518,5028.377058,117215.3824,109.076759,1.243,3.735488634,0.437444699,0.031310908,0.005481904,0.015921197,-0.019530824,-0.3710427,-0.233766,0.077,1.452
